50,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-croatie/toronto-zagreb,Toronto,Zagreb,1009,819
51,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-croatie/vancouver-zagreb,Vancouver,Zagreb,1446,1056
53,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/halifax-cayo-coco,Halifax,Cayo Coco,763,493
54,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/halifax-holguin,Halifax,Holguin,663,483
55,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/halifax-santa-clara,Halifax,Santa Clara,703,563
56,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/halifax-varadero,Halifax,Varadero,663,483
57,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/hamilton-cayo-coco,Hamilton,Cayo Coco,729,479
58,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/hamilton-varadero,Hamilton,Varadero,659,479
59,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/moncton-varadero,Moncton,Varadero,759,479
60,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/montreal-cayo-coco,Montréal,Cayo Coco,585,485
61,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/montreal-cayo-largo,Montréal,Cayo Largo,515,485
62,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/montreal-holguin,Montréal,Holguin,575,485
63,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/montreal-la-havane,Montréal,La Havane,585,485
64,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/montreal-santa-clara,Montréal,Santa Clara,565,485
65,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/montreal-varadero,Montréal,Varadero,525,485
66,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/ottawa-cayo-coco,Ottawa,Cayo Coco,556,476
67,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/ottawa-santa-clara,Ottawa,Santa Clara,656,476
68,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/ottawa-varadero,Ottawa,Varadero,576,476
69,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/quebec-holguin,Québec,Holguin,731,521
70,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/quebec-santa-clara,Québec,Santa Clara,731,491
71,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/quebec-varadero,Québec,Varadero,711,491
72,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/quebec-cayo-coco,Québec,Cayo Coco,691,491
73,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/toronto-cayo-coco,Toronto,Cayo Coco,529,479
74,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/toronto-cayo-largo,Toronto,Cayo Largo,699,479
75,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/toronto-holguin,Toronto,Holguin,539,479
76,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/toronto-santa-clara,Toronto,Santa Clara,549,479
77,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/toronto-santiago-de-cuba,Toronto,Santiago de Cuba,619,479
78,https://www.airtransat.com/fr-CA/vols-pas-chers-du-canada/vers-cuba/toronto-varadero,Toronto,Varadero,509,479
